Ime,URL,Gorovje,Višina (m),Zahtevnost (min),Zahtevnost (max),Priljubljenost
Temnjak,https://www.hribi.net/gora/temnjak/11/1748,Karavanke,798,lahka,lahka,1616
Sveti Duh (Pedrovo),https://www.hribi.net/gora/sveti_duh_pedrovo/26/2148,"Goriško, Notranjsko in Snežniško hribovje",365,lahka,lahka,1617
Zagrebenc,https://www.hribi.net/gora/zagrebenc/21/1975,"Škofjeloško, Cerkljansko hribovje in Jelovica",763,lahka,lahka,1618
Bezenica,https://www.hribi.net/gora/bezenica/5/1701,Polhograjsko hribovje in Ljubljana,476,lahka,lahka,1619
Sveti Rupert (Završe),https://www.hribi.net/gora/sveti_rupert_zavrse/11/1655,Karavanke,815,lahka,delno zahtevna,1622
Sveti Vid (Završe),https://www.hribi.net/gora/sveti_vid_zavrse/11/1656,Karavanke,808,lahka,delno zahtevna,1623
Pokojni vrh (Bohor),https://www.hribi.net/gora/pokojni_vrh_bohor/25/2263,Zasavsko - Posavsko hribovje in Dolenjska,711,lahka,lahka,1627
Milanka,https://www.hribi.net/gora/milanka/26/1225,"Goriško, Notranjsko in Snežniško hribovje",948,lahka,lahka,1628
Kapelica sv. Barbare na Pejcah,https://www.hribi.net/gora/kapelica_sv_barbare_na_pejcah/11/1910,Karavanke,750,lahka,lahka,1630
Veška planina / Wackendorfer Alm,https://www.hribi.net/gora/veska_planina___wackendorfer_alm/11/1809,Karavanke,1568,lahka,lahka,1632
Vrhija,https://www.hribi.net/gora/vrhija/25/2141,Zasavsko - Posavsko hribovje in Dolenjska,648,lahka,lahka,1637
Veliki vrh (Črni hribi),https://www.hribi.net/gora/veliki_vrh_crni_hribi/26/1419,"Goriško, Notranjsko in Snežniško hribovje",463,lahka,lahka,1638
Planina Zgornja Luža,https://www.hribi.net/gora/planina_zgornja_luza/11/1273,Karavanke,1573,lahka,lahka,1644
Krog,https://www.hribi.net/gora/krog/26/1714,"Goriško, Notranjsko in Snežniško hribovje",418,lahka,lahka,1645
Lobnikov vrh,https://www.hribi.net/gora/lobnikov_vrh/4/1981,Pohorje in ostala severovzhodna Slovenija,705,lahka,delno zahtevna,1648
Zabreznik (Sv. Miklavž),https://www.hribi.net/gora/zabreznik_sv_miklavz/25/2129,Zasavsko - Posavsko hribovje in Dolenjska,644,lahka,lahka,1651
Sveti Mihael na Pečici,https://www.hribi.net/gora/sveti_mihael_na_pecici/11/2197,Karavanke,500,lahka,lahka,1658
Sveti Križ (Liška gora),https://www.hribi.net/gora/sveti_kriz_liska_gora/25/2173,Zasavsko - Posavsko hribovje in Dolenjska,428,lahka,lahka,1665
Gradišče (Čepan),https://www.hribi.net/gora/gradisce_cepan/26/1958,"Goriško, Notranjsko in Snežniško hribovje",791,lahka,lahka,1667
Stolovec,https://www.hribi.net/gora/stolovec/26/1423,"Goriško, Notranjsko in Snežniško hribovje",563,lahka,lahka,1675
Lešenjak,https://www.hribi.net/gora/lesenjak/26/1422,"Goriško, Notranjsko in Snežniško hribovje",552,lahka,lahka,1677
Sveti Primož in Felicijan nad Semičem,https://www.hribi.net/gora/sveti_primoz_in_felicijan_nad_semicem/25/2114,Zasavsko - Posavsko hribovje in Dolenjska,465,lahka,lahka,1678
Zbelovski grad,https://www.hribi.net/gora/zbelovski_grad/11/2240,Karavanke,400,lahka,lahka,1679
Semenič,https://www.hribi.net/gora/semenic/25/2115,Zasavsko - Posavsko hribovje in Dolenjska,590,lahka,lahka,1680
Lovska koča Črnevka,https://www.hribi.net/gora/lovska_koca_crnevka/3/1524,Kamniško Savinjske Alpe,1300,delno zahtevna,delno zahtevna,1683
Raskože (Bohor),https://www.hribi.net/gora/raskoze_bohor/25/2261,Zasavsko - Posavsko hribovje in Dolenjska,650,lahka,lahka,1687
Kozjek,https://www.hribi.net/gora/kozjek/11/1676,Karavanke,766,lahka,lahka,1690
Vetrh vrh,https://www.hribi.net/gora/vetrh_vrh/11/2130,Karavanke,1268,ni podatka,ni podatka,1693
Plešivška kopa (Kozarnica),https://www.hribi.net/gora/plesivska_kopa_kozarnica/11/1650,Karavanke,1414,delno zahtevna,delno zahtevna,1694
Sveta Magdalena (Brda),https://www.hribi.net/gora/sveta_magdalena_brda/4/1708,Pohorje in ostala severovzhodna Slovenija,718,lahka,lahka,1699
Vrh,https://www.hribi.net/gora/vrh/26/1957,"Goriško, Notranjsko in Snežniško hribovje",777,lahka,lahka,1707
Časov vrh,https://www.hribi.net/gora/casov_vrh/11/1653,Karavanke,821,lahka,lahka,1709
Vrtovka,https://www.hribi.net/gora/vrtovka/26/1421,"Goriško, Notranjsko in Snežniško hribovje",502,lahka,lahka,1710
Nadglavinjak,https://www.hribi.net/gora/nadglavinjak/26/1692,"Goriško, Notranjsko in Snežniško hribovje",888,lahka,lahka,1714
Krajnikov grad,https://www.hribi.net/gora/krajnikov_grad/11/2291,Karavanke,549,lahka,lahka,1717
Veliki Mošenik / Große Muschenig,https://www.hribi.net/gora/veliki_mosenik___grosse_muschenig/11/2041,Karavanke,1021,lahka,lahka,1719
Lomnik,https://www.hribi.net/gora/lomnik/25/1638,Zasavsko - Posavsko hribovje in Dolenjska,609,ni podatka,ni podatka,1726
Podgorska planina / Maria Elender Alm,https://www.hribi.net/gora/podgorska_planina___maria_elender_alm/11/2042,Karavanke,930,lahka,lahka,1734
Orle,https://www.hribi.net/gora/orle/25/2400,Zasavsko - Posavsko hribovje in Dolenjska,458,lahka,lahka,1836
Koča na Pikovem,https://www.hribi.net/gora/koca_na_pikovem/11/1502,Karavanke,992,lahka,lahka,1920
Klobuk pri Ljubljani,https://www.hribi.net/gora/klobuk_pri_ljubljani/5/2391,Polhograjsko hribovje in Ljubljana,441,lahka,lahka,1947
Kredarica,https://www.hribi.net/gora/kredarica/1/2990,Julijske Alpe,2541,lahka,zahtevna,1952
Dom na Uršlji gori,https://www.hribi.net/gora/dom_na_urslji_gori/11/2509,Karavanke,1680,lahka,lahka,1961
Štanjel (Sveti Danijel),https://www.hribi.net/gora/stanjel_sveti_danijel/26/2308,"Goriško, Notranjsko in Snežniško hribovje",553,lahka,lahka,1968
Hum nad Laškim,https://www.hribi.net/gora/hum_nad_laskim/25/2579,Zasavsko - Posavsko hribovje in Dolenjska,583,delno zahtevna,zahtevna,1982
Ambrož pod Krvavcem,https://www.hribi.net/gora/ambroz_pod_krvavcem/3/2638,Kamniško Savinjske Alpe,1085,lahka,lahka,1985
Bedančev dom,https://www.hribi.net/gora/bedancev_dom/1/2659,Julijske Alpe,1116,lahka,lahka,1986
Prestreljeniško okno,https://www.hribi.net/gora/prestreljenisko_okno/1/2848,Julijske Alpe,2391,zahtevna,zahtevna,1987
Goličica,https://www.hribi.net/gora/golicica/1/2708,Julijske Alpe,2101,zahtevna,zahtevna,1988
Planina Jezerca,https://www.hribi.net/gora/planina_jezerca/3/2639,Kamniško Savinjske Alpe,1410,lahka,delno zahtevna,1989
Šenturška Gora,https://www.hribi.net/gora/senturska_gora/3/2493,Kamniško Savinjske Alpe,671,lahka,lahka,1990
Žagarski vrh,https://www.hribi.net/gora/zagarski_vrh/25/2748,Zasavsko - Posavsko hribovje in Dolenjska,627,lahka,lahka,1992
Vodnikov razglednik,https://www.hribi.net/gora/vodnikov_razglednik/1/2606,Julijske Alpe,1017,lahka,lahka,1993
Strunjanski križ,https://www.hribi.net/gora/strunjanski_kriz/26/2941,"Goriško, Notranjsko in Snežniško hribovje",53,lahka,lahka,1995
Visoka peč,https://www.hribi.net/gora/visoka_pec/1/2658,Julijske Alpe,1749,lahka,delno zahtevna,1996
Rudnica (nad Podčetrtkom),https://www.hribi.net/gora/rudnica_nad_podcetrtkom/4/3356,Pohorje in ostala severovzhodna Slovenija,548,lahka,lahka,1997
Podrta gora,https://www.hribi.net/gora/podrta_gora/1/2680,Julijske Alpe,2061,zahtevna,zahtevna,1998
Na Križu (Kokrska Kočna),https://www.hribi.net/gora/na_krizu_kokrska_kocna/3/2559,Kamniško Savinjske Alpe,2484,ni podatka,ni podatka,1999
Plezališče in ferata Renke,https://www.hribi.net/gora/plezalisce_in_ferata_renke/25/3088,Zasavsko - Posavsko hribovje in Dolenjska,700,zahtevna,zahtevna,2000
Peč (razgledišče),https://www.hribi.net/gora/pec_razgledisce/1/2637,Julijske Alpe,650,lahka,lahka,2001
Jezero Završnica,https://www.hribi.net/gora/jezero_zavrsnica/11/3105,Karavanke,630,lahka,lahka,2002
Tonkina koča na Vršiču,https://www.hribi.net/gora/tonkina_koca_na_vrsicu/1/2440,Julijske Alpe,1380,lahka,lahka,2004
Jezero Jasna,https://www.hribi.net/gora/jezero_jasna/1/2830,Julijske Alpe,830,lahka,lahka,2005
Obel kamen (Olševa),https://www.hribi.net/gora/obel_kamen_olseva/11/2979,Karavanke,1911,lahka,zahtevna,2006
Izvir Nadiže,https://www.hribi.net/gora/izvir_nadize/1/3086,Julijske Alpe,1232,delno zahtevna,delno zahtevna,2008
Bela peč (Podbliška gora),https://www.hribi.net/gora/bela_pec_podbliska_gora/21/2858,"Škofjeloško, Cerkljansko hribovje in Jelovica",1158,lahka,lahka,2009
Slap Peračica,https://www.hribi.net/gora/slap_peracica/3/2760,Kamniško Savinjske Alpe,430,lahka,lahka,2011
Veliki Babanski Skedenj,https://www.hribi.net/gora/veliki_babanski_skedenj/1/2571,Julijske Alpe,2121,delno zahtevna,delno zahtevna,2012
Sveta Marija (Trška Gora),https://www.hribi.net/gora/sveta_marija_trska_gora/25/2655,Zasavsko - Posavsko hribovje in Dolenjska,428,lahka,lahka,2013
Velika Baba (Kanin),https://www.hribi.net/gora/velika_baba_kanin/1/2725,Julijske Alpe,2148,delno zahtevna,zahtevna,2014
Slap Mostnice,https://www.hribi.net/gora/slap_mostnice/1/2931,Julijske Alpe,773,lahka,lahka,2016
Jezero Kreda,https://www.hribi.net/gora/jezero_kreda/1/2436,Julijske Alpe,715,lahka,lahka,2017
Rakov Škocjan,https://www.hribi.net/gora/rakov_skocjan/26/2558,"Goriško, Notranjsko in Snežniško hribovje",517,lahka,lahka,2018
Pot med krošnjami Pohorje,https://www.hribi.net/gora/pot_med_krosnjami_pohorje/4/3183,Pohorje in ostala severovzhodna Slovenija,1460,lahka,lahka,2019
Studor,https://www.hribi.net/gora/studor/1/2562,Julijske Alpe,1002,lahka,lahka,2020
Planinska koča Mrzl'k,https://www.hribi.net/gora/planinska_koca_mrzlk/21/2899,"Škofjeloško, Cerkljansko hribovje in Jelovica",971,lahka,lahka,2022
Koča pri Savici,https://www.hribi.net/gora/koca_pri_savici/1/2773,Julijske Alpe,653,lahka,lahka,2023
Sveti Križ (Kriška gora) nad Belimi Vodami,https://www.hribi.net/gora/sveti_kriz_kriska_gora_nad_belimi_vodami/3/2631,Kamniško Savinjske Alpe,1054,lahka,lahka,2024
Črni vrh (nad Soriško planino),https://www.hribi.net/gora/crni_vrh_nad_sorisko_planino/21/3062,"Škofjeloško, Cerkljansko hribovje in Jelovica",1486,lahka,lahka,2025
Loška stena,https://www.hribi.net/gora/loska_stena/26/2555,"Goriško, Notranjsko in Snežniško hribovje",875,lahka,lahka,2026
Podrta gora nad Ajdovščino,https://www.hribi.net/gora/podrta_gora_nad_ajdovscino/26/2495,"Goriško, Notranjsko in Snežniško hribovje",855,lahka,lahka,2027
Brinjeva gora (nad Zrečami),https://www.hribi.net/gora/brinjeva_gora_nad_zrecami/4/3155,Pohorje in ostala severovzhodna Slovenija,616,lahka,lahka,2028
Planina Marjanine njive,https://www.hribi.net/gora/planina_marjanine_njive/3/2384,Kamniško Savinjske Alpe,1220,lahka,lahka,2029
RIS Dolina (Dovžanova soteska),https://www.hribi.net/gora/ris_dolina_dovzanova_soteska/11/2809,Karavanke,720,lahka,zahtevna,2030
Veliki Lemež,https://www.hribi.net/gora/veliki_lemez/1/2988,Julijske Alpe,2042,ni podatka,ni podatka,2031
Blejski grad,https://www.hribi.net/gora/blejski_grad/1/2490,Julijske Alpe,599,lahka,lahka,2032
Koča Klobuk,https://www.hribi.net/gora/koca_klobuk/5/2389,Polhograjsko hribovje in Ljubljana,433,lahka,lahka,2033
Hotunjski vrh,https://www.hribi.net/gora/hotunjski_vrh/1/2763,Julijske Alpe,1107,lahka,lahka,2035
Celovška špica,https://www.hribi.net/gora/celovska_spica/11/3432,Karavanke,2102,delno zahtevna,delno zahtevna,2036
Davški slapovi,https://www.hribi.net/gora/davski_slapovi/21/2917,"Škofjeloško, Cerkljansko hribovje in Jelovica",1000,lahka,lahka,2037
Hom pri Bledu,https://www.hribi.net/gora/hom_pri_bledu/1/2463,Julijske Alpe,834,lahka,lahka,2038
Gradiško jezero,https://www.hribi.net/gora/gradisko_jezero/25/2728,Zasavsko - Posavsko hribovje in Dolenjska,340,lahka,lahka,2039
Bele peči (Lepi vrh),https://www.hribi.net/gora/bele_peci_lepi_vrh/11/2580,Karavanke,1926,lahka,lahka,2040
Koželj,https://www.hribi.net/gora/kozelj/3/2894,Kamniško Savinjske Alpe,590,lahka,lahka,2041
Lopa,https://www.hribi.net/gora/lopa/1/2800,Julijske Alpe,2406,ni podatka,ni podatka,2042
Rakova Špica,https://www.hribi.net/gora/rakova_spica/1/3178,Julijske Alpe,2545,ni podatka,ni podatka,2044
Črni vrh (pri Lokvah),https://www.hribi.net/gora/crni_vrh_pri_lokvah/26/3129,"Goriško, Notranjsko in Snežniško hribovje",1072,lahka,lahka,2046
Gregorčičev slap,https://www.hribi.net/gora/gregorcicev_slap/1/2975,Julijske Alpe,390,zahtevna,zahtevna,2047
Lukov slap,https://www.hribi.net/gora/lukov_slap/4/2741,Pohorje in ostala severovzhodna Slovenija,1240,lahka,lahka,2049
Kravji vrh / Kuhberg,https://www.hribi.net/gora/kravji_vrh___kuhberg/11/2382,Karavanke,2017,lahka,lahka,2050
Skalni vrh (Vodemla),https://www.hribi.net/gora/skalni_vrh_vodemla/11/2880,Karavanke,780,lahka,lahka,2052
Dražgoška gora,https://www.hribi.net/gora/drazgoska_gora/21/2885,"Škofjeloško, Cerkljansko hribovje in Jelovica",1140,lahka,lahka,2053
Hotel Krvavec,https://www.hribi.net/gora/hotel_krvavec/3/2512,Kamniško Savinjske Alpe,1600,lahka,lahka,2054
Hotel Polževo,https://www.hribi.net/gora/hotel_polzevo/25/2717,Zasavsko - Posavsko hribovje in Dolenjska,592,lahka,lahka,2055
Slovenski vrh,https://www.hribi.net/gora/slovenski_vrh/25/2723,Zasavsko - Posavsko hribovje in Dolenjska,1041,lahka,lahka,2057
Pomjan,https://www.hribi.net/gora/pomjan/26/2940,"Goriško, Notranjsko in Snežniško hribovje",360,lahka,lahka,2058
Visoka Bela Špica / Cima Alta di Riobianco,https://www.hribi.net/gora/visoka_bela_spica___cima_alta_di_riobianco/1/2820,Julijske Alpe,2257,ni podatka,ni podatka,2060
Poldnik (Kopa) / Picco di Mezzodi,https://www.hribi.net/gora/poldnik_kopa___picco_di_mezzodi/1/3289,Julijske Alpe,2063,zahtevna,zahtevna,2061
Izvir Krke,https://www.hribi.net/gora/izvir_krke/25/2732,Zasavsko - Posavsko hribovje in Dolenjska,272,lahka,lahka,2062
Sveta Marija (Ključevica),https://www.hribi.net/gora/sveta_marija_kljucevica/25/2620,Zasavsko - Posavsko hribovje in Dolenjska,1067,lahka,lahka,2063
Hvadnik,https://www.hribi.net/gora/hvadnik/11/3266,Karavanke,920,zahtevna,zahtevna,2064
Javorniški slapovi,https://www.hribi.net/gora/javorniski_slapovi/11/2454,Karavanke,690,delno zahtevna,delno zahtevna,2065
Ledenik,https://www.hribi.net/gora/ledenik/25/2724,Zasavsko - Posavsko hribovje in Dolenjska,1072,lahka,lahka,2066
Sveta Katarina na Homu,https://www.hribi.net/gora/sveta_katarina_na_homu/1/2443,Julijske Alpe,634,lahka,lahka,2067
Izvir reke Pake,https://www.hribi.net/gora/izvir_reke_pake/4/2643,Pohorje in ostala severovzhodna Slovenija,1412,lahka,lahka,2068
Veliki vrh nad Matkovim kotom,https://www.hribi.net/gora/veliki_vrh_nad_matkovim_kotom/3/2385,Kamniško Savinjske Alpe,1539,ni podatka,ni podatka,2069
Krniška glavica / Jof di Sompdogna,https://www.hribi.net/gora/krniska_glavica___jof_di_sompdogna/1/3566,Julijske Alpe,1889,lahka,lahka,2070
Baba (pri Javornikih),https://www.hribi.net/gora/baba_pri_javornikih/26/2594,"Goriško, Notranjsko in Snežniško hribovje",1085,lahka,lahka,2071
Ajdovski gradec,https://www.hribi.net/gora/ajdovski_gradec/1/2615,Julijske Alpe,580,lahka,lahka,2072
Slap Šum v Blejskem Vintgarju,https://www.hribi.net/gora/slap_sum_v_blejskem_vintgarju/1/2442,Julijske Alpe,520,lahka,lahka,2073
Oljska gora,https://www.hribi.net/gora/oljska_gora/25/2877,Zasavsko - Posavsko hribovje in Dolenjska,401,lahka,lahka,2074
Markova glava (razgledna stena),https://www.hribi.net/gora/markova_glava_razgledna_stena/25/3486,Zasavsko - Posavsko hribovje in Dolenjska,722,lahka,lahka,2075
Velika Montura,https://www.hribi.net/gora/velika_montura/1/2799,Julijske Alpe,1958,lahka,lahka,2076
Jamarski bivak na Dleskovški planoti,https://www.hribi.net/gora/jamarski_bivak_na_dleskovski_planoti/3/2711,Kamniško Savinjske Alpe,1910,ni podatka,ni podatka,2077
Kozice,https://www.hribi.net/gora/kozice/25/3325,Zasavsko - Posavsko hribovje in Dolenjska,741,lahka,lahka,2079
Slatnik (jugovzhodni vrh),https://www.hribi.net/gora/slatnik_jugovzhodni_vrh/1/2518,Julijske Alpe,1597,lahka,lahka,2080
Tolsta gora,https://www.hribi.net/gora/tolsta_gora/25/3030,Zasavsko - Posavsko hribovje in Dolenjska,734,lahka,lahka,2081
Dom Frata,https://www.hribi.net/gora/dom_frata/25/2587,Zasavsko - Posavsko hribovje in Dolenjska,345,lahka,lahka,2082
Ostruščica,https://www.hribi.net/gora/ostruscica/4/2740,Pohorje in ostala severovzhodna Slovenija,1498,lahka,lahka,2083
Ajdovščina,https://www.hribi.net/gora/ajdovscina/26/2566,"Goriško, Notranjsko in Snežniško hribovje",804,lahka,lahka,2085
Zgornji Goreljek (Pokljuka),https://www.hribi.net/gora/zgornji_goreljek_pokljuka/1/2774,Julijske Alpe,1260,lahka,lahka,2086
Debeli rtič,https://www.hribi.net/gora/debeli_rtic/26/2945,"Goriško, Notranjsko in Snežniško hribovje",28,lahka,lahka,2087
Sveti Duh (Polževo),https://www.hribi.net/gora/sveti_duh_polzevo/25/2718,Zasavsko - Posavsko hribovje in Dolenjska,630,lahka,lahka,2089
Bičkova skala,https://www.hribi.net/gora/bickova_skala/21/2859,"Škofjeloško, Cerkljansko hribovje in Jelovica",1012,lahka,lahka,2090
Kopa (Partizanski vrh),https://www.hribi.net/gora/kopa_partizanski_vrh/3/2628,Kamniško Savinjske Alpe,1024,lahka,lahka,2091
Srednja peč,https://www.hribi.net/gora/srednja_pec/11/2815,Karavanke,1920,lahka,zahtevna,2092
Sveti Nikolaj (Možjanca),https://www.hribi.net/gora/sveti_nikolaj_mozjanca/3/2630,Kamniško Savinjske Alpe,689,lahka,lahka,2095
Mangartska planina,https://www.hribi.net/gora/mangartska_planina/1/2673,Julijske Alpe,1295,lahka,lahka,2096
Marezige,https://www.hribi.net/gora/marezige/26/2912,"Goriško, Notranjsko in Snežniško hribovje",284,lahka,lahka,2097
Hoč,https://www.hribi.net/gora/hoc/21/2506,"Škofjeloško, Cerkljansko hribovje in Jelovica",1514,ni podatka,ni podatka,2098
Koseški hrib,https://www.hribi.net/gora/koseski_hrib/5/2770,Polhograjsko hribovje in Ljubljana,467,lahka,lahka,2100
Lipniški grad (Pusti grad nad Lipnico),https://www.hribi.net/gora/lipniski_grad_pusti_grad_nad_lipnico/21/2618,"Škofjeloško, Cerkljansko hribovje in Jelovica",590,lahka,lahka,2101
Licjanovec,https://www.hribi.net/gora/licjanovec/3/2582,Kamniško Savinjske Alpe,1733,delno zahtevna,delno zahtevna,2102
Strunjanske soline,https://www.hribi.net/gora/strunjanske_soline/26/3115,"Goriško, Notranjsko in Snežniško hribovje",2,lahka,lahka,2104
Veliki vrh (Križentaver),https://www.hribi.net/gora/veliki_vrh_krizentaver/25/2868,Zasavsko - Posavsko hribovje in Dolenjska,419,lahka,lahka,2106
Gradišče (nad Dobrovo),https://www.hribi.net/gora/gradisce_nad_dobrovo/5/3042,Polhograjsko hribovje in Ljubljana,530,lahka,lahka,2108
Sveta Trojica (nad Dobom),https://www.hribi.net/gora/sveta_trojica_nad_dobom/25/2872,Zasavsko - Posavsko hribovje in Dolenjska,527,lahka,lahka,2110
Visoka Bavha,https://www.hribi.net/gora/visoka_bavha/11/2438,Karavanke,1650,lahka,lahka,2111
Sv. Tomaž nad Vojnikom,https://www.hribi.net/gora/sv_tomaz_nad_vojnikom/11/3202,Karavanke,444,lahka,lahka,2112
Okrepčevalnica Slap Voje,https://www.hribi.net/gora/okrepcevalnica_slap_voje/1/2930,Julijske Alpe,745,lahka,lahka,2113
Mali vrh nad Završnico,https://www.hribi.net/gora/mali_vrh_nad_zavrsnico/3/2625,Kamniško Savinjske Alpe,863,lahka,lahka,2114
Pogorevc,https://www.hribi.net/gora/pogorevc/11/2783,Karavanke,1076,lahka,lahka,2115
Razgledna točka Široko,https://www.hribi.net/gora/razgledna_tocka_siroko/26/3339,"Goriško, Notranjsko in Snežniško hribovje",755,lahka,lahka,2116
Apnišče,https://www.hribi.net/gora/apnisce/3/2458,Kamniško Savinjske Alpe,740,lahka,lahka,2117
Firstov rep,https://www.hribi.net/gora/firstov_rep/26/2554,"Goriško, Notranjsko in Snežniško hribovje",1002,lahka,lahka,2119
Črvov vrh,https://www.hribi.net/gora/crvov_vrh/21/3219,"Škofjeloško, Cerkljansko hribovje in Jelovica",974,lahka,lahka,2120
Kržišče (Pokovše),https://www.hribi.net/gora/krzisce_pokovse/3/2735,Kamniško Savinjske Alpe,1658,lahka,lahka,2121
Tonderškofel,https://www.hribi.net/gora/tonderskofel/21/2575,"Škofjeloško, Cerkljansko hribovje in Jelovica",1326,lahka,lahka,2123
Malenski vrh,https://www.hribi.net/gora/malenski_vrh/21/3027,"Škofjeloško, Cerkljansko hribovje in Jelovica",1051,lahka,lahka,2124
Trentski Pelc,https://www.hribi.net/gora/trentski_pelc/1/3485,Julijske Alpe,2116,ni podatka,ni podatka,2125
Kucelj nad Polhovim Gradcem,https://www.hribi.net/gora/kucelj_nad_polhovim_gradcem/5/2479,Polhograjsko hribovje in Ljubljana,705,lahka,lahka,2126
Sveti Mohor na Mohorjevem hribu,https://www.hribi.net/gora/sveti_mohor_na_mohorjevem_hribu/25/2727,Zasavsko - Posavsko hribovje in Dolenjska,511,lahka,lahka,2127
Grušnica,https://www.hribi.net/gora/grusnica/1/2632,Julijske Alpe,1570,lahka,lahka,2128
Čisovec,https://www.hribi.net/gora/cisovec/3/2755,Kamniško Savinjske Alpe,1419,lahka,delno zahtevna,2129
Vogel (nad Lepeno),https://www.hribi.net/gora/vogel_nad_lepeno/1/2986,Julijske Alpe,1980,ni podatka,ni podatka,2130
